id_product,name_product,url_product,brand,actual_price_item,old_price_item
536705,"Сыр Le Superbe Switzerland Swiss твердый 49%, 180г",https://online.metro-cc.ru/products/lesuperbe-shvejcarskij-49-180-g,LE SUPERBE,379,439
436267,"Сыр Galbani Буррата мягкий 50%, 200г",https://online.metro-cc.ru/products/mocarella-galbani-burrata-200g-bzmzh,GALBANI,379,449
203768,"Сыр Viola российский нарезка 50%, 270г",https://online.metro-cc.ru/products/270g-syr-50-viola-rossiyskiy-narezka-bzmzh,VIOLA,369,349
116704,"METRO Chef Сыр для пиццы Моцарелла 45%, 370г",https://online.metro-cc.ru/products/dlya-piccy-mocarella-metro-chef-45-370g-bzmzh,METRO CHEF,369,359
54359,"Сыр Picсante Galbani с голубой плесенью 62%, 125г",https://online.metro-cc.ru/products/s-goluboj-picsante-galbani-125g-bzmzh,GALBANI,369,359
124474,"Сыр Dolce Deluxe Пармезан твердый 34%, 200г",https://online.metro-cc.ru/products/200g-34-parmezan-dolce-deluxe-9m-bzmzh,DOLCE,369,359
206435,"Сыр Laime Пармезан Gold твердый 40% 12 месяцев, 180г",https://online.metro-cc.ru/products/180g-syr-parmezan-40-laime-gold-vyderzh-ot-12-m-bzmzh,LAIME,369,389
228616,"Сыр Schonfeld Швейцарский Чиз полутвердый кусок 53%, 150г",https://online.metro-cc.ru/products/150g-syr-53-schonfeld-swiss-cheese-bzmzh,SCHONFELD,359,429
61548,"Сыр President Бри, 125г",https://online.metro-cc.ru/products/art_61548,PRESIDENT,359,329
110259,"Сыр Unagrande Моцарелла безлактозный мягкий 45%, 280г",https://online.metro-cc.ru/products/mocarella-bezlaktoznyj-unagrande-45-280g-bzmzh,UNAGRANDE,359,359
225487,"Сыр Natura selection White&Blue с голубой плесенью 60%, 125г",https://online.metro-cc.ru/products/125g-syr-whiteblue-60-natura-selection-s-plesenyu-bzmzh,NATURA SELECTION,359,389
87417,"Сыр Киприно Алтайский Premium, 230г",https://online.metro-cc.ru/products/altajskij-kiprino-premium-230g-bzmzh,КИПРИНО,359,329
205851,"Сыр Burenka Club Creme Blue 60%, 125г",https://online.metro-cc.ru/products/125g-syr-60-burenkaclub-creme-blue-bzmzh,BURENKA CLUB,349,349
526311,"Сыр Galbani Маскарпоне Дукат мягкий 80%, 250г",https://online.metro-cc.ru/products/maskarpone-galbani-dukat-250-g-bzmzh,GALBANI,349,439
574154,"Сыр Laime Пармезан твердый 6 месяцев созревания 40%, 175г",https://online.metro-cc.ru/products/laime-parmezan-40-175-g-bzmzh,LAIME,349,459
586635,"Сыр Dorblu Classic с голубой плесенью 50%, 100г",https://online.metro-cc.ru/products/dorblu-classic-50-s-goluboj-100-g-bzmzh,DORBLU,349,319
218396,"Моцарелла Pretto для пиццы-лазаньи-запекания 45%, 370г",https://online.metro-cc.ru/products/370g-motsarella-45-pretto-dpitstsylazanizapekaniya-bzmzh,PRETTO,349,349
63736,"Сыр Киприно Parmesan твердый, 200г",https://online.metro-cc.ru/products/kiprino-parmesan-bez-molochnyh-zamenitelej-zhirov-200-g,КИПРИНО,339,329
129703,"Сыр Whitecheese from Zhukovka Камамбер с черным трюфелем 50%, 125г",https://online.metro-cc.ru/products/kamamber-50-zhukovka-s-chernym-tryufelem-125g-bzmzh,WHITECHEESE FROM ZHUKOVKA,339,339
658962,"Сыр President Камамбер 50%, 125г",https://online.metro-cc.ru/products/president-kamamber-zhest-50-125g-bzmzh,PRESIDENT,339,319
213127,"Сыр Кабош Kilt нарезка 45%, 180г",https://online.metro-cc.ru/products/180g-syr-kilt-45-kabosh-kusok-bzmzh,КАБОШ,329,299
211646,"Сыр Кабош Levenkaas 45%, 180г",https://online.metro-cc.ru/products/180g-syr-45-kabosh-levenkaas-bzmzh,КАБОШ,329,319
632053,"Сыр Cheese Gallery Пармезан твердый 32%, 175г",https://online.metro-cc.ru/products/cheese-gallery-selected-collection-parmezan-175g-bzmzh,CHEESE GALLERY,329,339
133703,"Сыр Эконива твердый Durr 6 месяцев выдержки 50%, 200г",https://online.metro-cc.ru/products/syr-ekoniva-tverdyy-durr-6-mesyatsev-vyderzhki-50-200g-bzmzh,ЭКОНИВА,319,369
557517,"Сыр Hochland Фетакса в рассоле мягкий 45%, 480г",https://online.metro-cc.ru/products/hochland-klassicheskij-480g-bzmzh,HOCHLAND,319,339
118143,"Сыр Умалат Кавказский мягкий 45%, 370г",https://online.metro-cc.ru/products/370g-45-kavkazskij-umalat-bzmzh,УМАЛАТ,309,349
208695,"Сыр Unagrande маскарпоне без лактозы 80%, 250г",https://online.metro-cc.ru/products/250g-syr-maskarpone-80-unagrande-bez-laktozy-bzmzh,UNAGRANDE,299,399
236024,"Сыр плавленый President копченые колбаски 45%, 400г",https://online.metro-cc.ru/products/syr-plavlenyy-president-kopchenye-kolbaski-45-400g,PRESIDENT,299,299
134942,"Сыр плавленый Hochland Фетакса 45%, 400г",https://online.metro-cc.ru/products/plavlennyj-hochland-fetaksa-45-400g-bzmzh,HOCHLAND,299,299
214938,"Сыр Natura cливочный легкий полутвердый 16%, 400г",https://online.metro-cc.ru/products/400g-syr-legkiy-30-natura-bzmzh,NATURA,299,469
214939,"Сыр Natura cливочный полутвердый 45%, 400г",https://online.metro-cc.ru/products/400g-syr-slivochnyy-45-natura-bzmzh,NATURA,299,419
118482,"Сыр рассольный Луговая свежесть Сулугуни 45%, 200г",https://online.metro-cc.ru/products/200g-45-suluguni-lugovaya-svezhest-bzmzh,ЛУГОВАЯ СВЕЖЕСТЬ,295,273
227461,"Сыр Schonfeld Маасдам полутвердый кусок 45%, 200г",https://online.metro-cc.ru/products/syr-schonfeld-maasdam-45-200g,SCHONFELD,293,279
81436,"Сыр творожный Виолетта сливочный 70%, 400г",https://online.metro-cc.ru/products/violetta-bez-zamenitelya-molochnyh-zhirov-400-g,ВИОЛЕТТА,292,309
227461,"Сыр Schonfeld Маасдам полутвердый кусок 45%, 200г",https://online.metro-cc.ru/products/syr-schonfeld-maasdam-45-200g,SCHONFELD,293,279
81436,"Сыр творожный Виолетта сливочный 70%, 400г",https://online.metro-cc.ru/products/violetta-bez-zamenitelya-molochnyh-zhirov-400-g,ВИОЛЕТТА,292,309
32228,"Сыр Долголетие Кавказский 45%, 300г",https://online.metro-cc.ru/products/dolgoletie-45-300g,ДОЛГОЛЕТИЕ,292,286
79851,"Сыр Hochland Professional мягкий в рассоле 45%, 480г",https://online.metro-cc.ru/products/art_79851,HOCHLAND,289,309
109119,"Сыр Тысяча озёр Лапландский полутвердый кусок 45%, 380г",https://online.metro-cc.ru/products/laplandskij-tysyacha-ozer-kusok-380g,ТЫСЯЧА ОЗЁР,289,389
44418,"Сыр Предгорье Кавказа Адыгейский легкий 30%, 300г",https://online.metro-cc.ru/products/predgorye-adygejskij-legkij-300-g,ПРЕДГОРЬЕ КАВКАЗА,289,275
